Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr21	14009151	0	1.05033423
chr21	14027356	0.00674326	1.14492434
chr21	14041746	0.00135274	1.16391912
chr21	14051249	8.8443e-4	1.1763464
chr21	14056240	4.6422e-4	1.18287154
chr21	14057714	1.3753e-4	1.18480483
chr21	14074393	0.00170351	1.20878066
chr21	14074794	3.987e-5	1.20934188
chr21	14075395	6.09e-5	1.21019905
chr21	14087640	0.00348078	1.25923502
chr21	14088675	1.0123e-4	1.26066123
chr21	14089761	4.866e-5	1.26134677
chr21	14091856	9.391e-5	1.26267007
chr21	14092050	8.9e-6	1.26279542
chr21	14098759	2.9259e-4	1.26692058
chr21	14103189	2.1058e-4	1.26989043
chr21	14110273	0.00327063	1.31603987
chr21	14121117	7.1326e-4	1.32611192
chr21	14121682	1.3788e-4	1.32805899
chr21	14122951	7.889e-4	1.33920059
chr21	14123103	9.464e-5	1.34053722
chr21	14126158	9.4767e-4	1.35392411
chr21	14136579	7.3848e-4	1.36436376
chr21	14157220	0.00787021	1.47578402
chr21	14193356	0.00230659	1.50852222
chr21	14197852	5.2555e-4	1.51598388
chr21	14200678	0.00119644	1.53297417
chr21	14201141	1.9798e-4	1.53578577
chr21	14210512	0.00400752	1.59273472
chr21	14214699	0.00107655	1.60803751
chr21	14224204	3.4902e-4	1.61300209
chr21	14250204	9.2358e-4	1.62616323
chr21	14253349	2.5643e-4	1.62981826
chr21	14253904	4.472e-5	1.63045563
chr21	14258290	3.51e-4	1.63546027
chr21	14258324	2.7e-6	1.63549871
chr21	14258658	2.614e-5	1.63587147
chr21	14258956	2.31e-5	1.63620088
chr21	14261969	2.3136e-4	1.6395005
chr21	14274752	0.00427748	1.70056043
chr21	14297378	0.00278022	1.74031025
chr21	14302389	7.0652e-4	1.75041519
chr21	14302648	4.095e-5	1.75100089
chr21	14303744	2.0154e-4	1.75388367
chr21	14306406	5.2731e-4	1.76142765
chr21	14308353	3.9074e-4	1.76701848
chr21	14312716	7.9224e-4	1.77835757
chr21	14317058	1.7177e-4	1.78081677
chr21	14328540	2.3328e-4	1.78415939
chr21	14331271	6.864e-5	1.78514312
chr21	14332251	3.327e-5	1.78561999
chr21	14334270	1.3496e-4	1.78755459
chr21	14338198	4.676e-5	1.7882251
chr21	14339666	1.015e-5	1.78837062
chr21	14342603	1.411e-5	1.78857299
chr21	14345499	1.049e-5	1.78872346
chr21	14346239	1.71e-6	1.78874804
chr21	14358346	2.171e-5	1.78905982
chr21	14358612	3.23e-6	1.78910617
chr21	14367339	2.6138e-4	1.79286154
chr21	14376474	0.00717712	1.89604321
chr21	14384375	5.934e-5	1.89689682
chr21	14385827	1.093e-5	1.89705408
chr21	14391399	4.243e-5	1.89766468
chr21	14393919	6.732e-5	1.89863361
chr21	14394354	2.266e-5	1.89895978
chr21	14394811	2.39e-5	1.89930382
chr21	14394834	1.18e-6	1.89932085
chr21	14396046	5.856e-5	1.90016385
chr21	14396558	1.313e-5	1.90035292
chr21	14396862	7.12e-6	1.90045548
chr21	14397020	3.49e-6	1.90050575
chr21	14397386	7.82e-6	1.90061838
chr21	14398247	1.851e-5	1.90088495
chr21	14398761	1.265e-5	1.90106707
chr21	14401408	1.0327e-4	1.90255435
chr21	14403236	2.596e-5	1.90292831
chr21	14404589	1.898e-5	1.90320171
chr21	14405882	1.879e-5	1.90347239
chr21	14409852	6.097e-5	1.90435094
chr21	14411637	1.1175e-4	1.9059615
chr21	14411714	4.65e-6	1.90602851
chr21	14412898	6.998e-5	1.9070371
chr21	14413121	9.73e-6	1.90717733
chr21	14413644	2.846e-5	1.9075876
chr21	14413742	4.71e-6	1.90765556
chr21	14415232	4.714e-5	1.90833514
chr21	14415421	2.66e-6	1.90837354
chr21	14416325	1.47e-6	1.90839477
chr21	14416492	2.6e-7	1.90839849
chr21	14419777	4.09e-6	1.90845751
chr21	14422021	4.625e-5	1.90912449
chr21	14423156	4.9e-6	1.90919517
chr21	14423393	1.19e-6	1.90921239
chr21	14435884	2.8134e-4	1.91327383
chr21	14437714	9.045e-5	1.91457974
chr21	14438201	2.372e-5	1.91492222
chr21	14439974	8.71e-5	1.91617996
chr21	14447961	4.1797e-4	1.92221884
